"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 16:04:13 GMT 2023","Thu Apr 13 16:04:15 GMT 2023","2405","vizsgaremek_tests","test_conduit","TestConduit","","","test_all_pages",""
"passed","Thu Apr 13 16:03:50 GMT 2023","Thu Apr 13 16:03:55 GMT 2023","5456","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 13 16:04:09 GMT 2023","Thu Apr 13 16:04:11 GMT 2023","2424","vizsgaremek_tests","test_conduit","TestConduit","","","test_list_data",""
"passed","Thu Apr 13 16:04:59 GMT 2023","Thu Apr 13 16:05:02 GMT 2023","3329","vizsgaremek_tests","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Apr 13 16:04:44 GMT 2023","Thu Apr 13 16:04:54 GMT 2023","10075","vizsgaremek_tests","test_conduit","TestConduit","","","test_delete_data",""
"passed","Thu Apr 13 16:04:23 GMT 2023","Thu Apr 13 16:04:32 GMT 2023","9595","vizsgaremek_tests","test_conduit","TestConduit","","","test_read_data",""
"passed","Thu Apr 13 16:03:57 GMT 2023","Thu Apr 13 16:03:58 GMT 2023","1000","vizsgaremek_tests","test_conduit","TestConduit","","","test_registration1",""
"passed","Thu Apr 13 16:03:59 GMT 2023","Thu Apr 13 16:04:04 GMT 2023","5330","vizsgaremek_tests","test_conduit","TestConduit","","","test_login",""
"passed","Thu Apr 13 16:04:06 GMT 2023","Thu Apr 13 16:04:08 GMT 2023","2084","vizsgaremek_tests","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Thu Apr 13 16:04:55 GMT 2023","Thu Apr 13 16:04:57 GMT 2023","2436","vizsgaremek_tests","test_conduit","TestConduit","","","test_write_data",""
"passed","Thu Apr 13 16:04:34 GMT 2023","Thu Apr 13 16:04:42 GMT 2023","8350","vizsgaremek_tests","test_conduit","TestConduit","","","test_modify_data",""
"passed","Thu Apr 13 16:04:17 GMT 2023","Thu Apr 13 16:04:21 GMT 2023","4929","vizsgaremek_tests","test_conduit","TestConduit","","","test_new_data",""
